"Time_Period","N","Mean","Median","SD","Zero_Star","One_Star","Two_Star","Three_Star","Four_Star","Five_Star"
"Post-policy",351,1.72,1,1.42,56,161,44,5,84,1
"Pre-policy",32,0.22,0,0.61,28,1,3,0,0,0
"Year 1",40,1.25,1,1.21,10,20,5,0,5,0
"Year 2",80,1.14,1,1.05,16,53,2,2,7,0
"Year 3",98,1.61,1,1.34,10,61,5,2,19,1
"Year 4",93,2.71,4,1.49,10,13,20,1,49,0
"Year 5",38,1.42,1,1.15,8,14,12,0,4,0
