"Metric","Value"
"Mean_Difference",1.53908475783476
"Percent_Improvement",703.581603581604
"High_Quality_Pre",0
"High_Quality_Post",26.4957264957265
"High_Quality_Change",26.4957264957265
"Zero_Star_Pre",87.5
"Zero_Star_Post",15.0997150997151
"Zero_Star_Change",-72.4002849002849
