"Period","N","Mean","Median","SD","Min","Max","Q1","Q3"
"Year 1",40,1.25,1,1.214,0,4,0.75,1.25
"Year 2",80,1.138,1,1.052,0,4,1,1
"Year 3",98,1.612,1,1.337,0,5,1,2
"Year 4",93,2.71,4,1.486,0,4,2,4
"Year 5",38,1.421,1,1.154,0,4,1,2
